,time,F8,F4,F3,F7
305,1.22,0.075968844,0.098398578,0.073392719,0.119037641
306,1.224,0.075969516,0.098397844,0.073366898,0.119035734
307,1.228,0.075979773,0.098406094,0.073359828,0.11904562499999999
308,1.232,0.07596143,0.098395062,0.073370453,0.119028125
309,1.236,0.075948992,0.098386039,0.073386547,0.119013938
310,1.24,0.075969516,0.098400727,0.073388055,0.11903503124999999
311,1.244,0.075968305,0.098398516,0.073365086,0.119033352
312,1.248,0.075977289,0.098405625,0.073359656,0.119042773
313,1.252,0.075959961,0.098394789,0.073369312,0.119024734
314,1.256,0.075946516,0.098385336,0.073384906,0.119012797
315,1.26,0.075967734,0.098398852,0.073384766,0.11903338281249999
316,1.264,0.075967469,0.098397172,0.073360398,0.119029594
317,1.268,0.075976289,0.098405156,0.073354828,0.11903952343749999
318,1.272,0.075957914,0.098394992,0.073364852,0.11902221874999999
319,1.276,0.075945477,0.098386414,0.073379977,0.119009383
320,1.28,0.075968242,0.098400656,0.073379805,0.11903110156249999
321,1.284,0.075969953,0.098399484,0.073355164,0.119028258
322,1.288,0.075977188,0.098407367,0.073350234,0.11904039062499999
323,1.292,0.075957211,0.098396875,0.073361703,0.119023828
324,1.296,0.075945773,0.098387453,0.073377328,0.119009047
325,1.3,0.075968539,0.098401195,0.073377359,0.119030203
326,1.304,0.075969414,0.098400156,0.07335268,0.11902798437499999
327,1.308,0.075976555,0.098407664,0.073347016,0.11903885156249999
328,1.312,0.075957242,0.098396437,0.07335768,0.119019703
329,1.316,0.075945844,0.098387484,0.073373977,0.119005188
330,1.32,0.075966797,0.098400828,0.07337582,0.11902774999999999
331,1.324,0.075966664,0.098399148,0.073352586,0.119025844
332,1.328,0.075976555,0.098407,0.073346914,0.11903690624999999
333,1.332,0.075958383,0.098396437,0.073357078,0.11902097656249999
334,1.336,0.075946516,0.098388688,0.07337307,0.11900827343749999
335,1.34,0.075968813,0.098402805,0.073374477,0.11902892968749999
336,1.344,0.075968742,0.098400898,0.07335007,0.11902691406249999
337,1.348,0.075977758,0.098408977,0.073345203,0.119035734
338,1.352,0.075958016,0.098398344,0.073357414,0.119018836
339,1.356,0.075945742,0.09838943,0.073374109,0.11900770312499999
340,1.36,0.075968844,0.098403781,0.073373469,0.11902943
341,1.364,0.075969914,0.098402641,0.073348156,0.119027719
342,1.368,0.075978297,0.098410547,0.073342125,0.119037914
343,1.372,0.075959586,0.098400227,0.073352781,0.119019133
344,1.376,0.075946852,0.09839057,0.073369344,0.11900625781249999
345,1.38,0.075970117,0.098404414,0.07336868,0.11902698437499999
346,1.384,0.075970219,0.098402336,0.073343094,0.11902463281249999
347,1.388,0.075978867,0.098410047,0.073337063,0.11903432
348,1.392,0.075960297,0.098400461,0.073346781,0.119015883
349,1.396,0.075948523,0.098391875,0.073363242,0.119003414
350,1.4,0.075971023,0.098406023,0.073363578,0.11902520312499999
351,1.404,0.075971156,0.098403844,0.073338672,0.11902221874999999
352,1.408,0.07597957,0.098410883,0.07333257,0.11903234374999999
353,1.412,0.075960297,0.098400055,0.073343594,0.11901468
354,1.416,0.075947281,0.09839057,0.073361031,0.11900110156249999
355,1.42,0.075969477,0.09840482,0.073362336,0.119022086
356,1.424,0.07597025,0.098403242,0.073336891,0.119019203
357,1.428,0.075979406,0.098411117,0.073330789,0.119030164
358,1.432,0.075958516,0.098399953,0.073343266,0.119014609
359,1.436,0.075945977,0.098391305,0.073360359,0.11900176562499999
360,1.44,0.075969078,0.098405352,0.073361531,0.11902359374999999
