,time,F8,F4,F3,F7,,
2124,8.496,0.117989164,0.14727456249999998,0.11363174999999999,0.125740383,,
2125,8.5,0.11798628124999999,0.14727175,0.113628234,0.12573857,,
2126,8.504,0.11799124999999999,0.147275875,0.113632727,0.12574457,,
2127,8.508,0.117997047,0.14728020312499998,0.113638086,0.125750977,,
2128,8.512,0.117995508,0.14727812499999998,0.113636281,0.125750109,,
2129,8.516,0.117989969,0.14727278124999998,0.113630344,0.12574544531249998,,
2130,8.52,0.117987555,0.14727037499999998,0.113627625,0.125743336,,
2131,8.524,0.11799271874999999,0.147274828,0.11363232,0.125748063,,
2132,8.528,0.117998453,0.14727949999999998,0.11363792187499999,0.12575406249999999,,
2133,8.532,0.117996344,0.147276875,0.113635672,0.12575252343749999,,
2134,8.536,0.117990914,0.147271406,0.113629703,0.125746953,,
2135,8.54,0.11798843,0.147268797,0.113626789,0.125744711,,
2136,8.544,0.117993094,0.14727274999999998,0.11363107812499999,0.12574963281249998,,
2137,8.548,0.11799852343749999,0.147277109,0.113636344,0.125755641,,
2138,8.552,0.11799668,0.147274797,0.11363410156249999,0.125753695,,
2139,8.556,0.117991414,0.147269563,0.113628398,0.125748594,,
2140,8.56,0.11798923437499999,0.147267359,0.113625953,0.125746789,,
2141,8.564,0.11799432812499999,0.147271578,0.113630648,0.125751984,,
2142,8.568,0.117999828,0.147276,0.113635875,0.12575725,,
2143,8.572,0.117997719,0.147273422,0.113633563,0.125754766,,
2144,8.576,0.11799224999999999,0.147268063,0.113627859,0.125748531,,
2145,8.58,0.11799034374999999,0.147266047,0.11362551562499999,0.12574560937499998,,
2146,8.584,0.11799553906249999,0.147270344,0.11363050781249999,0.125750375,,
2147,8.588,0.118001,0.14727426562499998,0.113635711,0.125755906,,
2148,8.592,0.11799889062499999,0.147271578,0.11363349218749999,0.125754461,,
2149,8.596,0.11799332812499999,0.14726621874999998,0.11362779687499999,0.125748563,,
2150,8.6,0.11799124999999999,0.147263969,0.113625344,0.125745945,,
2151,8.604,0.117996344,0.147268125,0.11362987499999999,0.125751383,,
2152,8.608,0.118001906,0.147272219,0.113635,0.125757078,,
2153,8.612,0.11799956249999999,0.14726929687499998,0.113632422,0.125755203,,
2154,8.616,0.11799393,0.14726373437499998,0.113626523,0.12575003906249999,,
2155,8.62,0.117991617,0.147261188,0.11362370312499999,0.125747695,,
2156,8.624,0.117996211,0.14726525,0.113627961,0.125752891,,
2157,8.628,0.118001742,0.14726937499999998,0.11363315624999999,0.12575892187499998,,
2158,8.632,0.11800006249999999,0.14726721874999998,0.11363124999999999,0.12575775,,
2159,8.636,0.117994766,0.147262125,0.113625719,0.12575295312499998,,
2160,8.64,0.11799258593749999,0.14725995312499998,0.11362336718749999,0.12575087499999998,,
2161,8.644,0.117997953,0.14726454687499999,0.11362863281249999,0.12575507,,
2162,8.648,0.118004023,0.14726940624999998,0.113634672,0.12575946093749998,,
2163,8.652,0.11800237499999999,0.147267063,0.113632625,0.12575725,,
2164,8.656,0.117996844,0.147261484,0.11362682,0.12575195312499998,,
2165,8.66,0.117994469,0.14725917187499998,0.11362407031249999,0.125750109,,
2166,8.664,0.117999828,0.147263906,0.113629102,0.125755539,,
2167,8.668,0.118005227,0.147268266,0.113634336,0.125760398,,
2168,8.672,0.11800338281249999,0.147265984,0.11363232,0.125757281,,
2169,8.676,0.117998219,0.147260922,0.11362689062499999,0.125750477,,
2170,8.68,0.117995875,0.147258734,0.113624211,0.125747055,,
2171,8.684,0.11800117187499999,0.14726343749999998,0.113629438,0.125752016,,
2172,8.688,0.118007039,0.14726789062499998,0.11363507031249999,0.125757648,,
2173,8.692,0.11800482812499999,0.147265281,0.113632891,0.125755906,,
2174,8.696,0.117999258,0.14725984374999998,0.11362709374999999,0.125750742,,
2175,8.7,0.117996578,0.147257438,0.11362440624999999,0.125748023,,
2176,8.704,0.118001234,0.147261563,0.113629273,0.12575265624999998,,
2177,8.708,0.118006266,0.147265344,0.11363439843749999,0.12575835156249998,,
2178,8.712,0.11800408593749999,0.14726265624999998,0.11363228906249999,0.12575681249999998,,
2179,8.716,0.11799855468749999,0.14725720312499999,0.113626789,0.12575154687499998,,
2180,8.72,0.117996273,0.147254484,0.113624211,0.125749367,,
2181,8.724,0.118001234,0.147258266,0.113628805,0.125754133,,
2182,8.728,0.11800707031249999,0.147262422,0.113634367,0.125760031,,
2183,8.732,0.11800492187499999,0.147259047,0.11363208593749999,0.125758523,,
2184,8.736,0.11799889062499999,0.147252734,0.11362618749999999,0.125753023,,
